t
v 0 0
v 1 2
v 2 3
v 3 6
v 4 2
v 5 3
v 6 6
v 7 2
v 8 3
v 9 6
v 10 2
v 11 3
v 12 6
v 13 2
v 14 3
v 15 6
v 16 2
v 17 3
v 18 6
v 19 2
v 20 3
v 21 6
v 22 2
v 23 3
v 24 6
v 25 2
v 26 3
v 27 6
v 28 2
v 29 3
v 30 6
v 31 2
v 32 3
v 33 6
v 34 2
v 35 3
v 36 6
e 0 1 0
e 0 4 0
e 0 7 0
e 0 10 0
e 0 13 0
e 0 16 0
e 0 19 0
e 0 22 0
e 0 25 0
e 0 28 0
e 0 31 0
e 0 34 0
e 0 1 1
e 0 4 1
e 0 7 1
e 0 10 1
e 0 13 1
e 0 16 1
e 0 19 1
e 0 22 1
e 0 25 1
e 0 28 1
e 0 31 1
e 0 34 1
e 1 0 1
e 1 2 0
e 2 3 0
e 4 0 1
e 4 5 0
e 5 6 0
e 6 3 1
e 7 0 1
e 7 8 0
e 8 9 0
e 10 0 1
e 10 11 0
e 11 12 0
e 12 9 1
e 13 0 1
e 13 14 0
e 14 15 0
e 16 0 1
e 16 17 0
e 17 18 0
e 18 15 1
e 19 0 1
e 19 20 0
e 20 21 0
e 22 0 1
e 22 23 0
e 23 24 0
e 24 21 1
e 25 0 1
e 25 26 0
e 26 27 0
e 28 0 1
e 28 29 0
e 29 30 0
e 30 27 1
e 31 0 1
e 31 32 0
e 32 33 0
e 34 0 1
e 34 35 0
e 35 36 0
e 36 33 1
t
v 0 0
v 1 5
v 2 12
e 0 1 0
e 0 2 0
e 2 1 1
t
